year,source_document,section_bucket,subsection,proposal_title,lead_agency,supporting_agencies,commitment_type,quantified,metric_or_target,implementation_pathway,notes,commitment_id,lead_agency_standardized,supporting_agencies_standardized,item_type_clean,implementation_pathway_clean,binary_evaluable,binary_unit,overlap_theme,status_evidence_needed,source_quality,continuity_to_prior_year,matched_prior_commitment_id,matched_prior_title,match_basis,commitment_text,source_page,source_page_end,text_capture_confidence
2022,2022StateoftheStateBook.pdf,Public safety / gun violence,Part II-A: Stop Crime and Violence: Strengthen Proven Law Enforcement Strategies,Triple Resources for State Police’s Crime Gun-Tracing Efforts,,,other,yes,Triple,mixed,First-pass coding from 2022 SOTS table of contents.,2022035,,,program/policy,mixed,no,,gun_violence,agency report or official implementation evidence,first_pass_toc,,,,,"New York State has cutting-edge technology to identify firearm origins, straw purchasers, sales from recovered crime guns, and travel routes used by gun traffickers. But there remains a demand for a team of data analysts with the skills needed to deploy these tools most effectively toward preventing gun trafficking. To support law enforcement actions that shut down major gun traffickers, operations, and routes, Governor Hochul will triple the state's gun violence intelligence resources by staffing the New York State Intelligence Center (NYSIC) with a team of analysts necessary to process and investigate crime guns across the state faster than before.",49,49,high
2022,2022StateoftheStateBook.pdf,Public safety / gun violence,Part II-A: Stop Crime and Violence: Strengthen Proven Law Enforcement Strategies,"Form a Gun Tracing Consortium with Local Law Enforcement Agencies, and Neighboring States",,,other,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022036,,,other,mixed,no,,gun_violence,agency report or official implementation evidence,first_pass_toc,,,,,"Much of New York's recent surge in gun violence is fueled by easily obtainable firearms and a rise in ghost guns, with most of these weapons trafficked into and throughout the state from other areas of the country. To take a holistic and proactive approach to regional law enforcement, Governor Hochul will direct the State Police to form a new Interstate Gun-Tracing Consortium to facilitate the exchange of intelligence between localities and neighboring states.

The consortium would include the New York State Police, local law enforcement agencies from across the state, and law enforcement agencies in neighboring states. Their efforts will focus on real-time intelligence exchange and operational coordination targeting gun interdiction.

While other coalitions have tried to attack this problem before, they typically focus on activity within a major city. This new task force will attack the root of the trafficking problem by stretching beyond city limits - and onto the highways and interstate lines where guns move. By combining forces, the states and localities in this coalition will leverage their individual efforts to greater effect.",49,50,high
2022,2022StateoftheStateBook.pdf,Public safety / gun violence,Part II-A: Stop Crime and Violence: Strengthen Proven Law Enforcement Strategies,Expand the Level and Scope of the State’s Direct Support to Local Law Enforcement,DCJS,,program/policy,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022037,DCJS,,program/policy,mixed,no,,gun_violence,"implementation metrics, agency reports, or budget plus rollout evidence",first_pass_toc,,,,,"New York's nationally recognized Gun Involved Violence Elimination (GIVE) initiative within the Division of Criminal Justice Services (DCJS) provides dedicated State funding to local law enforcement agencies within the 17 counties in which more than 80 percent of the state's violent crime is committed outside of New York City. GIVE funding supports the hiring of officers and prosecutors and promotes the implementation of evidence-based law enforcement strategies, such as local intelligence-led policing focused on the small number of individuals responsible for a disproportionate share of violence within the community, and hyper-local efforts to direct policing resources and improve physical conditions in neighborhoods that have become hotspots for violent crime.

To continue supporting local law enforcement, Governor Hochul will increase funding for GIVE programs, enabling the launch of several new, critical initiatives to stop the surge of violence:

• Standing up a non-fatal shooting program to improve the often-abysmal clearance rate of these crimes, solving today's shootings that cause injury before they become tomorrow's fatal tragedies. • Supporting law enforcement participation in youth engagement and community-based programs that promote positive skills. • Implementing an alternative community supervision pilot program using the ""Swift, Certain, and Fair,"" model to reduce re-offenses and improve connections with employment.

Additionally, increased funding will support ongoing procedural justice and community trust-building technical assistance from DCJS between law enforcement, community-based organizations, and residents to ensure that our neighborhoods are safe for all New Yorkers.",50,51,high
2022,2022StateoftheStateBook.pdf,Public safety / gun violence,Part II-A: Stop Crime and Violence: Strengthen Proven Law Enforcement Strategies,Double State Police Partnerships with Local Law Enforcement,,,other,yes,Double,mixed,First-pass coding from 2022 SOTS table of contents.,2022038,,,program/policy,mixed,no,,state_police_capacity,agency report or official implementation evidence,first_pass_toc,,,,,"The use of Community Stabilization Units (CSU), where groups of the most experienced State Troopers partner with local law enforcement agencies, have proven to be an effective tool in combating community-specific crime problems across the state. CSUs currently exist in eight jurisdictions, with Newburgh, Poughkeepsie, and Rochester as leading models.

Governor Hochul will expand this effective approach to more communities across the state by increasing state funding for CSUs to double the number of partner jurisdictions to 16.",51,51,high
2022,2022StateoftheStateBook.pdf,Public safety / gun violence,Part II-A: Stop Crime and Violence: Strengthen Proven Law Enforcement Strategies,Invest in New York’s Crime Analysis Center Network,,,funding/tax/benefit,no,,executive_budget,First-pass coding from 2022 SOTS table of contents.,2022039,,,funding/tax/benefit,executive_budget,no,,gun_violence,agency report or official implementation evidence,first_pass_toc,,,,,"New York's Crime Analysis Centers (CACs) collect and share criminal intelligence and data among over 350 state and local law enforcement agencies, serving as the backbone of efforts to deter, investigate, and solve crimes including murders,

shootings, robberies, hate crimes, and serial burglaries. New York's CAC network has become a central part of the state's crime reduction strategy. In 2020, the current network of 10 CACs assisted local law enforcement agencies across the state with more than 60,000 requests for information and research, helping New York become and remain the safest large state (over 10 million people) in the nation.37

Despite these successes, the CAC network has been overtaxed by dramatic growth in terms of geographic coverage areas and demand for real-time services and intelligence products by the partner law enforcement agencies across more than 30 counties. Moreover, funding has been delivered through a patchwork of resources, including several federal sources that have declined in recent years.

To strengthen the work of the CAC network, Governor Hochul will establish a stable funding stream and increase current funding levels, enabling more proactive and effective crime analysis services that reflect today's crime trends. This investment will allow for new crime analysis technology, additional crime analysts, and enhanced investigative support to help police and prosecutors more effectively solve and prevent crime, and protect New Yorkers.

Additionally, each center will have dedicated crime gun and ballistic tracing equipment installed to allow local law enforcement to process evidence to solve and prevent firearm-involved violent crime, adding critical crime gun intelligence resources as an additional capability to the state's GIVE efforts (mentioned above).",51,52,high
2022,2022StateoftheStateBook.pdf,Public safety / gun violence,Part II-A: Stop Crime and Violence: Strengthen Proven Law Enforcement Strategies,Enrich Social Media Analysis to Identify Threats and Criminal Activity,,,other,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022040,,,other,mixed,no,,state_police_capacity,agency report or official implementation evidence,first_pass_toc,,,,,"The New York State Police use publicly available social media activity and posts to assist in identifying credible criminal activity happening in the state. But the pool of information is so large and rapidly changing that the State Police's current efforts only scratch the surface of what is possible to detect and interdict.

Governor Hochul will support enhancing the Social Media Analysis Unit at the NYSIC by staffing a team of analysts to perform daily analysis of publicly available social media activity - particularly that which pertains to school violence threats, gang activity, and illegal firearms - to tie information back to existing criminal investigations, initiate new investigations, and communicate information on threats to appropriate field personnel.",52,53,high
2022,2022StateoftheStateBook.pdf,Public safety / gun violence,Part II-A: Stop Crime and Violence: Strengthen Proven Law Enforcement Strategies,Establish Gun Intelligence Centers Across the State to Share Meaningful Crime Data,,,program/governance,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022041,,,program/governance,executive_action,yes,established,gun_violence,"executive order, agency launch, or official announcement",first_pass_toc,,,,,"The Federal Bureau of Alcohol, Tobacco, Firearms, and Explosives has developed the most comprehensive and effective Crime Gun Intelligence Centers (CGIC) in the nation, one of which is already being used by the New York City Police Department. The centers use the National Integrated Ballistics Information Network to link crimes, identify groups involved in shootings, and pinpoint where illegal guns are coming from in a timely manner - providing investigators with actionable intelligence and assisting law enforcement in reducing gun violence.

Linking data across the state would enable law enforcement to pursue more cases against irresponsible gun dealers and straw purchasers. Therefore, Governor Hochul will establish a CGIC in every region of New York State, equipped with instruments that trace shell casings and qualified staff to collect and compare ballistic evidence. This capability will ensure the State Police will be able to effectively solve major crimes and disrupt interstate trafficking of illegal firearms.",53,53,high
2022,2022StateoftheStateBook.pdf,Public safety / gun violence,Part II-A: Stop Crime and Violence: Strengthen Proven Law Enforcement Strategies,Stop Cryptocurrency Crimes with New Software,,,program/policy,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022042,,,program/policy,mixed,no,,state_police_capacity,agency report or official implementation evidence,first_pass_toc,,,,,"There is a growing use of cryptocurrency among gun traffickers trying to evade law enforcement and New York's stringent gun laws, including a growing dark-web marketplaces for firearms and other contraband. Emerging tools would enable New York State Police to identify criminal transactions, including those involving the

purchase of illegal firearms for gun trafficking, and pursue the individuals and organizations involved.

Governor Hochul will fund the purchase of blockchain-analysis software to enhance the State's ability to proactively and reactively monitor cryptocurrency exchanges. The purchase of these tools will enable the State Police to support members of law enforcement who are increasingly responding to crimes involving cryptocurrency.",53,54,high
2022,2022StateoftheStateBook.pdf,Public safety / gun violence,Part II-A: Stop Crime and Violence: Strengthen Proven Law Enforcement Strategies,Modernize Forensic Examination by Linking Digital Devices to Crimes,,,capital/infrastructure,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022043,,,capital/infrastructure,mixed,no,,state_police_capacity,agency report or official implementation evidence,first_pass_toc,,,,,"In the past five years, the State Police's Computer Forensic Laboratory has seen a staggering 494 percent increase in the backlog of cases awaiting analysis. This surge in caseload - coupled with the increased storage size, complexity, and security features of personal digital devices - has highlighted the need for a significant increase in personnel and equipment capable of conducting timely and comprehensive forensic analysis to advance public safety.

To help this laboratory more effectively handle its skyrocketing caseload, Governor Hochul will expand Troop Computer Crime Units and fund additional equipment, software, and specialized onboarding.",54,54,high
2022,2022StateoftheStateBook.pdf,Public safety / gun violence,Part II-B: Stop Crime and Violence: Strengthen Proven Community-Based Programs,Triple Investment in Community-Based Gun Violence Response,,,other,yes,Triple,mixed,First-pass coding from 2022 SOTS table of contents.,2022044,,,program/policy,executive_budget,no,,gun_violence,"budget appropriation, program awards, or fiscal documents",first_pass_toc,,,,,"Just as New York's recovery from the COVID-19 pandemic has been uneven across the state, so has the persistence of gun violence within our communities. One effective effort to curb the cycle of gun violence has been the SNUG street outreach program, which supports neighborhood-based programs that promote community outreach, family engagement, and intervention to steer young people away from gun violence. With the spike in gun crimes that followed the onset of the pandemic, the State increased funding for SNUG on an emergency basis from $4. million to $10. million.

To strengthen and expand the State's approach to community-based gun violence response, Governor Hochul will sustain that emergency increase in SNUG funding levels and increase funding by an additional 50 percent in the coming year.

This significant investment in New York's communities will:

• Expand hospital-based community gun violence specialists from just eight of the state's trauma centers to all 22 to address hospital admissions for firearm-involved injuries.

• Expand the state's network of SNUG street outreach and community-based violence interruption programs to Niagara Falls, Utica, and Schenectady, all of which have experienced significant surges in gun violence since the onset of the pandemic. • Pilot a new initiative to provide wraparound services within the SNUG network to increase participation in programming by helping meet the basic needs of New York's most vulnerable young people. • Provide skills-based job-readiness and work-placement training for at-risk youth who are involved in the state's violence interruption work. • Launch a first-in-the-nation program to recruit and retain outreach workers and overcome one of the primary obstacles to scaling community-based violence prevention efforts.

Additionally, Governor Hochul will sustain the pandemic-related increase in funding for New York City-based violence interruption and hospital-based responder programs.",55,56,high
2022,2022StateoftheStateBook.pdf,Public safety / gun violence,Part II-B: Stop Crime and Violence: Strengthen Proven Community-Based Programs,Provide Pretrial Services to Promote Public Safety,,,program/policy,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022045,,,program/policy,mixed,no,,public_safety_general,agency report or official implementation evidence,first_pass_toc,,,,,"Statewide pretrial reform was implemented without the necessary resources or coordination needed to help localities adopt new approaches to pretrial services that ensure public safety. Governor Hochul will directly address concerns about public safety by providing dedicated funding to support pretrial services for localities outside of New York City. This funding would implement a comprehensive continuum of pretrial services, including screening and assessments, supervision, a centralized case management system, and dedicated information sharing with the court system.

This proposal will also support additional staff within DCJS to support distribution and oversight of the pretrial services funding to 57 counties outside of New York City. This critical funding will be provided to probation departments and

community-based providers as they divert people away from costly, unnecessary detention and toward services that will assure their return to court and promote positive development.

In total, this investment will position New York to assess and serve more than 130,000 cases throughout the state each year.",56,57,high
2022,2022StateoftheStateBook.pdf,Public safety / gun violence,Part II-B: Stop Crime and Violence: Strengthen Proven Community-Based Programs,Respond to Regional Needs in the Aftermath of Gun Violence,,,other,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022046,,,other,mixed,no,,gun_violence,agency report or official implementation evidence,first_pass_toc,,,,,"There is a need for new and innovative strategies that reach the people and places that have been hardest hit by the spike in gun violence, particularly New York's most vulnerable young people. Governor Hochul will establish a new initiative to fund innovative community empowerment and crime-reduction strategies that bring together all those impacted by gun violence: residents, local governments, community-based organizations, schools, educational institutions, and law enforcement agencies.

Governor Hochul will direct DCJS to identify up to 10 areas of New York that have experienced the greatest increase in shooting incidents, injuries, fatalities, and firearm-involved crimes, and seek comprehensive ""whole-of-neighborhood"" applications to support new partnerships and programs between government and community organizations aimed at repairing and rebuilding in the aftermath of violence, and serving the complex needs of communities victimized by crime involving guns. This community engagement process will also serve to better align different sources of state support to address gaps in, for instance, employment, education, public safety, health and mental healthcare, and housing.",57,57,high
2022,2022StateoftheStateBook.pdf,Public safety / gun violence,Part II-B: Stop Crime and Violence: Strengthen Proven Community-Based Programs,Provide Additional Law Enforcement Training on the State’s Red Flag Law to Protect New Yorkers,,,staffing/workforce,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022047,,,staffing/workforce,mixed,no,,public_safety_general,agency report or official implementation evidence,first_pass_toc,,,,,"In August 2019,40 New York's Red Flag Law took effect, allowing family members, law enforcement, and school officials to ""flag"" individuals likely to engage in conduct that would result in serious harm to themselves or others. Flagged individuals are reviewed by the courts to determine whether to temporarily seize firearms from individuals believed to pose a severe threat of harm to themselves or to others; and to prevent these individuals from purchasing, possessing, or attempting to purchase or possess any type of firearm, including handguns, rifles, or shotguns. To date, more than 1,100 orders have been issued, but regional and local disparities indicate that additional training would be helpful for potential petitioners, including law enforcement officials and domestic violence advocates.

To improve the use and implementation of this lifesaving law, Governor Hochul will direct State-led Red Flag Law trainings in each region of New York over the coming year to ensure this law is fully implemented.",58,58,high
2022,2022StateoftheStateBook.pdf,People / workforce / reentry / food systems,Part III-A: Provide Meaningful Tax Relief for Small Businesses and the Middle Class,"Provide $100 Million of Relief for 195,000 Small Businesses",,,funding/tax/benefit,yes,$100 Million,mixed,First-pass coding from 2022 SOTS table of contents.,2022048,,,funding/tax/benefit,executive_budget,no,,economic_development_general,agency report or official implementation evidence,first_pass_toc,,,,,"While the pandemic downturn impacted all of us, small businesses suffered especially hard. Federal support has helped, but as New York stares down yet another COVID-19 winter surge, we must do everything we can to support the small businesses that are vital to the health and well-being of our communities. To boost recovery across the state, Governor Hochul will provide $100 million in tax relief for 195,000 small businesses, to help them keep their doors open and weather what the next few months bring.

This relief will come from increasing a tax return adjustment (known as a ""subtraction modification"") that reduces a small business's gross taxable income, as well as from widening eligibility to more entities. In simple terms, a subtraction modification allows a business entity to lower its gross income by an amount equal to a certain percentage of its net income, before calculating the amount of taxes owed. Current law allows for a 5 percent subtraction modification for sole proprietorships and farm businesses with incomes of less than $250,000 - benefitting just 5,000 taxpayers each year.

The Governor will raise this modification and include other entities with New York- source gross income of up to $1. million, covering some 195,000 small businesses in all - putting more money back in the hands of more hard-working New Yorkers.",60,60,high
2022,2022StateoftheStateBook.pdf,People / workforce / reentry / food systems,Part III-A: Provide Meaningful Tax Relief for Small Businesses and the Middle Class,Accelerate $1.2 Billion in Middle-Class Tax Cuts for 6 Million New Yorkers,,,funding/tax/benefit,yes,$1.2 Billion,executive_budget,First-pass coding from 2022 SOTS table of contents.,2022049,,,funding/tax/benefit,executive_budget,no,,labor_affordability_general,agency report or official implementation evidence,first_pass_toc,,,,,"In 2018, New York State began phasing in a middle-class tax cut, which is scheduled to stretch out through 2025. That original timeline did not take into account the economic devastation brought on by the pandemic, and the many people who need help now in the face of rising inflation.

Rather than waiting for small, incremental benefits to take effect for middle-class taxpayers, Governor Hochul will accelerate their relief and start providing the full benefit of the tax cut two years earlier, fully phasing-in the 2018 middle-class tax cut beginning in the 2023 tax year (the earliest it can occur, because this change would be enacted mid-2022). Applying the full effective cut to 2023 will accelerate two years of tax cuts, providing $1. billion in total relief for 6. million New Yorkers.",61,61,high
2022,2022StateoftheStateBook.pdf,People / workforce / reentry / food systems,Part III-A: Provide Meaningful Tax Relief for Small Businesses and the Middle Class,Deliver a $1 Billion Property Tax Rebate for More Than 2 Million New York Families,,,funding/tax/benefit,yes,$1 Billion,executive_budget,First-pass coding from 2022 SOTS table of contents.,2022050,,,funding/tax/benefit,executive_budget,no,,labor_affordability_general,agency report or official implementation evidence,first_pass_toc,,,,,"As inflation rises and the economic impact of the pandemic lingers, Governor Hochul will provide much needed relief through a property tax rebate program that returns tax dollars to middle- and low-income households. More than 2 million New Yorkers will be eligible for the rebate, with low-income households and seniors receiving higher benefits. Eligible homeowners will receive their benefit in 2022, to the tune of $1 billion.",61,61,high
2022,2022StateoftheStateBook.pdf,People / workforce / reentry / food systems,Part III-A: Provide Meaningful Tax Relief for Small Businesses and the Middle Class,Increase Existing Tax Credits and Create a New Credit to Support Food Production,,,program/governance,no,,executive_budget,First-pass coding from 2022 SOTS table of contents.,2022051,,,program/governance,executive_budget,no,,food_access_agriculture,"budget appropriation, program awards, or fiscal documents",first_pass_toc,,,,,"Farm labor is among the fastest-growing costs of agricultural production in New York. To help farms meet this challenge, Governor Hochul will increase an existing workforce tax credit and create a new one, while also expanding an investment tax credit for equipment that would complement the workforce and address shortages. These actions include:

• Increase the Farm Workforce Retention Tax Credit: Farm owners and employers are currently eligible to receive a refundable tax credit of a fixed dollar amount per eligible farm employee through 2024. To help farms retain their workers, the State will double the yearly fixed dollar amount per eligible employee and extend the program to 2025.

• Create a New Overtime Tax Credit: The State will create a permanent refundable tax credit on overtime hours for any size farm in New York State, to offset increasing costs to farmers.

• Increase the Investment Tax Credit: The investment tax credit has been a powerful tool in the past to stimulate investments in new technology and equipment. New York will increase the existing investment tax credit at year's end for all state farms, allowing farmers to purchase new equipment that could further automate their farms in response to the declining agriculture workforce.

Together these efforts will help farms both support their workers and meet their food production goals.",61,62,high
2022,2022StateoftheStateBook.pdf,People / workforce / reentry / food systems,"Part III-B: Give New Yorkers Job Skills, Access, and Protections",Overhaul the State’s Workforce Development Efforts to Focus on Region-Specific Employment Needs,SUNY,CUNY,staffing/workforce,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022052,SUNY,CUNY,staffing/workforce,mixed,no,,labor_affordability_general,agency report or official implementation evidence,first_pass_toc,,,,,"Overhaul the State's Workforce Development Efforts to Focus on Region- Specific Employment Needs

To meet the needs of workers and businesses, Governor Hochul will create the Office of Workforce and Economic Development to drive workforce development across the state. This effort will be managed by ESD and run through the State's REDCs, in conjunction with DOL, SUNY, and CUNY. The new Office will leverage ESD's relationships with employers throughout the state, and leverage ESD's standing as a trusted partner in the business community to help identify employer needs early and train New Yorkers to meet these needs.

Critically, the new Office will utilize the expertise of the REDCs, which possess the local knowledge of workforce needs, trends, and opportunities necessary to help guide investments throughout the state. To ensure flexibility to meet changing needs, each REDC will help determine workforce development funding on a real- time, continual basis (as opposed to an annual funding cycle) to generate a pipeline of new workers for regionally-significant industries, including in high-demand areas such as information technology, sciences and advanced manufacturing, green energy, and film production and post-production.

Regional pipeline programs will be designed in partnership with regional employers to align worker opportunities with industry needs. School districts and higher education institutions will be at the table, as well, to ensure the development of complementary learning initiatives at the high school and college levels. Programs that involve an industry or employer match will receive priority in funding decisions.

To make the most of every dollar, improve data collection, and incentivize all sides to get more New Yorkers working in high-demand areas, a component of funding will be tied to high job placement rates as evidenced by high-quality data.

Additionally, Governor Hochul will strengthen the Office of New Americans' (ONA) successful workforce development programming, which aims to support new Americans across the career path through a variety of initiatives. Two programs in particular have proven essential to ONA's immigrant support during the pandemic: Immigrants Can Code, which provides training in both basic digital literacy and advanced coding for low-income immigrants, and Professional Pathways, which helps place high-skilled immigrants in jobs that match their previous skills and experience. (See Section VIII for more on Governor Hochul's proposals to strengthen ONA.)",63,64,high
2022,2022StateoftheStateBook.pdf,People / workforce / reentry / food systems,"Part III-B: Give New Yorkers Job Skills, Access, and Protections",Help More New Yorkers Move Between Education and Career,SUNY,CUNY,other,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022053,SUNY,CUNY,other,mixed,no,,labor_affordability_general,agency report or official implementation evidence,first_pass_toc,,,,,"Post-secondary education is crucial for economic success, with 70 percent of new jobs requiring some post-secondary credential. But roughly 2. million New Yorkers between ages 25 and 44 lack a post-secondary degree or credential, putting them at risk of being left behind as the job market continues to trend toward more skilled hires.

To make the state more responsive to these post-secondary workforce needs, Governor Hochul will implement a plan to make it easier for New Yorkers to move between education and career, providing students with pathways and assistance to earn credentials on their own time and in a cost-effective manner. Components of this plan include:

• Expand part-time Tuition Assistance Programs, allowing parents and dislocated workers to attend school without upending their lives, serving 75,000 students. • Provide financial support for non-degree workforce training at CUNY and SUNY. • Develop public-private funding partnerships to create new internship opportunities for SUNY and CUNY students. • Establish a policy that would enable work experiences to count toward degree credits. • Incentivize concurrent enrollment programs around credit achievement and matriculation.

More information on each of these initiatives can be found in Section VII.",65,65,high
2022,2022StateoftheStateBook.pdf,People / workforce / reentry / food systems,"Part III-B: Give New Yorkers Job Skills, Access, and Protections",Expand Access to Apprenticeships,SUNY,CUNY,staffing/workforce,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022054,SUNY,CUNY,staffing/workforce,mixed,no,,college_workforce_pathways,"implementation metrics, agency reports, or budget plus rollout evidence",first_pass_toc,,,,,"Registered apprenticeships are an important tool for economic mobility, but not all New Yorkers are able to take advantage of such programs. Currently, the state has nearly 18,400 active apprentices in 975 registered apprenticeship programs,51 with 40 percent of programs in high-growth fields such as IT, healthcare, and advanced manufacturing. To help expand access to apprenticeships in these emerging fields, benefiting both workers seeking jobs and employers seeking to fill roles, Governor Hochul will propose the following actions:

• Increase funding for apprenticeship programs at SUNY and CUNY. • Extend the Empire State Apprenticeship Tax Credit and further incentivize employers to hire disadvantaged youth. • Support apprentices in high-growth industries, targeting underrepresented groups such as women and people of color. • Create a pre-apprenticeship portal to help more New Yorkers find programs that are right for them. • Support direct-entry pre-apprenticeships as well as organizations supporting pre-apprenticeships. • Make qualified apprenticeship expenses eligible for spending out of college savings (529) accounts.

By expanding apprenticeship access - working closely with existing apprenticeship programs, labor groups and the New York State Apprenticeship and Training Council - the state can increase positive outcomes for both employers and workers alike.",66,66,high
2022,2022StateoftheStateBook.pdf,People / workforce / reentry / food systems,"Part III-B: Give New Yorkers Job Skills, Access, and Protections",Recruit the Next Generation of Public Servants,SUNY,,staffing/workforce,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022055,SUNY,,staffing/workforce,mixed,no,,government_operations_general,agency report or official implementation evidence,first_pass_toc,,,,,"With more than a quarter of the New York State workforce eligible to retire within the next five years,52 it is imperative that we continue to attract the best and

brightest to public service careers so we can continue meeting the needs of those we serve. To fill this gap and build a robust pipeline of diverse new talent into the New York State workforce, Governor Hochul will:

• Make Civil Service Exams More Accessible: New Department of Civil Service (DCS) testing centers will be established at designated SUNY college campuses throughout the state to make it easier for students to enter into New York State service upon graduation.

• Promote Diverse Hiring: To help State agencies hire the best and brightest as quickly as possible, Governor Hochul will propose legislation to change Civil Service Law to accelerate the hiring of qualified diverse candidates to public service careers and streamline hiring practices. For example, expanding the use of continuous recruitment examinations for entry-level job titles will allow agencies to grow their pools of qualified candidates more quickly.

• Improve Civil Service Exam Quality: DCS will expand efforts to ensure that civil service exams are maintaining the highest standards of integrity and equity.",66,67,high
2022,2022StateoftheStateBook.pdf,People / workforce / reentry / food systems,"Part III-B: Give New Yorkers Job Skills, Access, and Protections",Expand the State’s Technology Talent Pipeline,,,program/policy,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022056,,,program/policy,mixed,no,,technology_innovation_economic_development,"implementation metrics, agency reports, or budget plus rollout evidence",first_pass_toc,,,,,"Every day, New Yorkers engage with more and more digital government services, a trend that has accelerated since the beginning of the COVID-19 pandemic. As the need for those services has grown, so has the need for technical talent to build, deliver, and improve those services. That is why it is paramount that New York State build a strong pipeline of tech talent to public service, working in partnership with New York State's colleges and universities as well as the many prominent technology companies based in New York.

Governor Hochul will expand the tech talent pipeline by increasing exposure to technical roles in government service through internships, fellowships, and mid- career opportunities. A new fellowship program will build on the success of the Excelsior Service Fellowship Program, drawing candidates from schools across New York State, including from backgrounds historically underrepresented in technology, to provide graduates the opportunity to enter public service for two years right out of school. A new Digital SWAT Team program will also offer mid- career technologists the opportunity to spend an 18-month stint in government, working to accelerate the state's ability to deliver quality digital services for New Yorkers.

This initiative will not only ensure that New York has a diverse group of top talent, but will also allow the state to gain exposure to the newest technologies out there through close collaboration with our universities and companies.",67,68,high
2022,2022StateoftheStateBook.pdf,People / workforce / reentry / food systems,"Part III-B: Give New Yorkers Job Skills, Access, and Protections",Make New York a Model for the Employment of Workers with Disabilities,OMH,,other,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022057,OMH,,other,mixed,no,,disability_inclusion,agency report or official implementation evidence,first_pass_toc,,,,,"In recent years, only about one-third of working-age New Yorkers with disabilities held jobs - ranking 38th out of U.S. states. To make New York a national leader in this area, Governor Hochul will work to expand job opportunities in high-growth areas for workers with disabilities. Her plan will:

§ Create an Office of the Chief Disability Officer: Governor Hochul will build and staff an Office of the Chief Disability Officer (CDO) to address the multiple factors preventing more people with disabilities from finding meaningful employment. The CDO and staff will be charged with making specific, action- oriented recommendations around: ensuring businesses remain committed to employing people with disabilities and have the necessary toolkits to do so; reducing barriers faced by companies in hiring people with disabilities, and by workers in finding these roles; leveraging federal and state tax credits; updating the 2015 Employment First recommendations; making best

use of existing State-funded training and employment programs, as well as Adult Career and Continuing Education Services-Vocational Rehabilitation (ACCESS-VR) and other educational programs; and expanding New York State Commission for the Blind's Business Enterprise Program.

§ Commit New York State Government to Becoming a Model Employer: To set an example for other states to follow and increase the number of workers with disabilities employed by New York's public sector, Governor Hochul will charge DCS with working with other State agencies and labor unions to improve the Civil Service 55-b/c programs, which authorize the State to designate up to 1,200 positions in the non-competitive class to be filled by qualified people with disabilities and up to 500 positions to be filled by qualified wartime veterans with disabilities. This program will be updated to allow for the transfer of non-competitive employees in the 55-b and 55-c programs into the competitive class to allow for more rapid career mobility. Additionally, key State agencies will create trainings for State employees to better support individuals with disabilities (as well as other coworkers); create a toolkit that helps local governments become Model Employers based on the State's experience; and receive reminders of the statutory priority for legally blind vendors to operate within New York State facilities.

§ Enhance the New York Employment Services System (NYESS): This initiative will enhance NYESS, a unique partnership between the Office of Mental Health (OMH) and DOL that exists to support the employment services system in its entirety, regardless of disability sub-types or State agency affiliation.

§ Enhance Vocational, Educational, Employment, and Training Programs at OMH and the Office for People with Developmental Disabilities (OPWDD).",68,69,high
2022,2022StateoftheStateBook.pdf,People / workforce / reentry / food systems,"Part III-B: Give New Yorkers Job Skills, Access, and Protections",Protect and Strengthen Workers’ Rights,,,program/policy,no,,mixed,First-pass coding from 2022 SOTS table of contents.,2022058,,,program/policy,mixed,no,,labor_affordability_general,"implementation metrics, agency reports, or budget plus rollout evidence",first_pass_toc,,,,,"To ensure that our state's economic growth and recovery lifts up all workers, Governor Hochul has an action plan to protect working New Yorkers:

• Ban Agreements That Limit Workers' Ability to Move and Work Freely: Governor Hochul will propose legislation to eliminate non-compete agreements for workers making below the median wage in New York State and to explicitly ban all ""no-poach"" agreements under State antitrust law.

• Increase Criminal Penalties for Employers Who Commit Wage Theft: Governor Hochul will propose legislation to increase criminal penalties for employers who knowingly or intentionally commit wage theft violations to more closely align with penalties for other forms of theft - because wage theft is theft.

• Modernize How Workers File Labor Law Claims to Be More Accessible to Today's Workforce: DOL will improve the process for workers to make complaints about unpaid wages, discrimination, failure to provide State- mandated leave, and other violations of the labor law.",70,70,high
